C trainF1.5 validF1.5
0.1 0.5442067431114154 0.5450977287123336
0.2 0.6392951580518098 0.6257860948554459
0.3 0.6868151366231867 0.6613932207758733
0.4 0.7225202916494703 0.6831359565346576
0.5 0.7493332217678252 0.6973662066644227
0.6 0.7691964517300409 0.7086537657778148
0.7 0.7878098727065046 0.7164152746613479
0.7999999999999999 0.8015183604980712 0.7226405726343663
0.8999999999999999 0.8132858233647239 0.7285499299084688
0.9999999999999999 0.8235920096484205 0.7344564904932036
1.0999999999999999 0.8349754439749498 0.7388963936305211
1.2 0.8443305702084902 0.7425158260159281
1.3 0.8525892025596603 0.7441625916870416
1.4 0.8599878215558463 0.7464412087688616
1.5 0.8661748160538447 0.7483856556877716
1.5999999999999999 0.8727769226950003 0.7499391801484004
1.7 0.8773353949233346 0.7517203691709844
1.8 0.8807867048075305 0.7520617723156533
1.9 0.8863782257029144 0.7535813728259554
2.0 0.8905971105961245 0.7544853445147764
