C trainF1.5 validF1.5
2.2413793103448274 0.942254828621128 0.781945195601226
2.862068965517241 0.9494852374257335 0.7802738631410723
2.0344827586206895 0.9397970464779745 0.7826411362819129
1.8275862068965516 0.9364480791107209 0.7832616487455196
1.6206896551724137 0.933572710951526 0.784774771559109
1.4137931034482758 0.9287282748810951 0.7853954762074116
2.655172413793103 0.9472412076223238 0.7804570827896187
3.0689655172413794 0.9516142222383761 0.7792999308663539
2.4482758620689653 0.9452409992320551 0.7811754068716094
3.2758620689655173 0.9535834251226639 0.7781189634435253
1.206896551724138 0.9232089004448456 0.7857041755130928
1.0 0.9161545562442307 0.7863991414798917
1.9310344827586206 0.9381623697694661 0.7830664560370516
1.5172413793103448 0.9312450414954403 0.7847902783222267
2.7586206896551726 0.9483547653354358 0.779924531040238
2.344827586206897 0.9436950146627565 0.7814836216548088
2.137931034482759 0.9409133858267716 0.7821669006732189
2.9655172413793105 0.9505977831640295 0.7797259975288904
1.7241379310344827 0.9350585457050083 0.7836055613138425
2.5517241379310347 0.9465065996001338 0.7811391121732203
3.1724137931034484 0.9527365673067302 0.7786741941358587
3.3793103448275863 0.9543272515280421 0.7780504269138143
1.3103448275862069 0.9259778146253225 0.7857269534990954
1.103448275862069 0.9197188439795748 0.7861996540647394
3.4827586206896552 0.9553855552414905 0.7777027273723027
3.689655172413793 0.9570748814992739 0.7773237531080884
3.896551724137931 0.9588399432779836 0.7765012815818382
3.586206896551724 0.9562713875074144 0.7776722090261283
3.793103448275862 0.9579497774080608 0.7772695671264956
4.0 0.9596828100248148 0.775980805157698
