C trainF1.5 validF1.5
0.0 0.9583289132342588 0.5877009553773549
0.07894736842105263 0.9352363144106506 0.6393864289582205
0.15789473684210525 0.9208858589717219 0.6469622331691297
0.23684210526315788 0.9091365313653137 0.6488729594857481
0.3157894736842105 0.8932260972058518 0.6492276025972924
0.39473684210526316 0.8793847196070814 0.6486716621253407
0.47368421052631576 0.8662673651105257 0.6483641869988057
0.5526315789473684 0.8549034601414642 0.6473057858302709
0.631578947368421 0.8423698129999898 0.6462720424584831
0.7105263157894737 0.8303606817281015 0.6449297102691584
0.7894736842105263 0.8199214165433485 0.6428862660944206
0.8684210526315789 0.8099273483691808 0.6404987102321582
0.9473684210526315 0.7998189244524008 0.6381355202548539
1.026315789473684 0.790474321770471 0.6372576475657044
1.1052631578947367 0.7833742452019182 0.6361773713496959
1.1842105263157894 0.7747986489997402 0.6344202116173613
1.263157894736842 0.7664362206859157 0.6326898966754573
1.3421052631578947 0.7588104229212215 0.6308153373436621
1.4210526315789473 0.7526767830363791 0.6300948585784207
1.5 0.746964648004289 0.6291186161449753
