C trainF1.5 validF1.5
1.0 0.0 0.0
1.4137931034482758 0.2681899950243044 0.2696710533022089
1.206896551724138 0.0 0.0
1.6206896551724137 0.0 0.0
1.8275862068965516 0.0 0.0
2.0344827586206895 0.2681899950243044 0.2696710533022089
2.2413793103448274 0.0 0.0
2.4482758620689653 0.0 0.0
2.655172413793103 0.0 0.0
2.862068965517241 0.0 0.0
3.0689655172413794 0.0 0.0
3.2758620689655173 0.2681899950243044 0.2696710533022089
1.103448275862069 0.0 0.0
1.5172413793103448 0.2681899950243044 0.2696710533022089
1.3103448275862069 0.0 0.0
1.7241379310344827 0.0 0.0
1.9310344827586206 0.0 0.0
2.137931034482759 0.0 0.0
2.344827586206897 0.0 0.0
2.5517241379310347 0.0 0.0
2.7586206896551726 0.0 0.0
2.9655172413793105 0.0 0.0
3.1724137931034484 0.0 0.0
3.3793103448275863 0.2681899950243044 0.2696710533022089
3.689655172413793 0.0 0.0
3.4827586206896552 0.2681899950243044 0.2696710533022089
3.896551724137931 0.0 0.0
